"","Chalcidoma disjunctum","Curculionidae sp12","Dermestidae sp1","Elateroidea sp2","Eristalodes seychellarum","Fly sp18","Fly sp26","Fly sp4","Forcipomyia (Euprojoannisia) sp1","Forcipomyia (Thyridomyia) litoraurea","Halictidae sp1","Leptotes pirithous","Mabuya sechellensis","Mordellidae sp11","Nitidulidae sp1","Parasarcophaga hirticeps","Physiphoa azurea ","Plagiostenopterina cyanosoma","Rhiparida seychellensis","Tricimba seychellensis","Trypoxylon errans"
"Chrysobalanus icaco",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
"Cinnamomum verum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Dillenia ferruginea",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"Erythroxylum sechellarum",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
"Nepenthes pervillei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Nephrosperma vanhoutteanum",0,0,76,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"Paragenipa wrightii",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoenicophorium borsigianum",0,2,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0
"Pittosporum senacia",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Roscheria melanochaetes",0,0,0,0,0,0,2,0,1,1,0,0,0,10,0,0,0,0,0,0,0
